ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250602_150635_c12c8d21,0,0,100.0,49.38,49.38,100.0,49.38
250602_150640_31ae5286,0,5,100.0,49.59,49.59,100.0,49.59
250602_150645_f3759fc1,0,10,100.0,49.919999999999995,49.919999999999995,100.0,49.919999999999995
250602_150651_10051551,0,15,100.0,51.54,51.54,100.0,51.54
250602_150656_a4f2e0c8,0,20,100.0,50.24999999999999,50.24999999999999,100.0,50.24999999999999
250602_150701_94287017,0,25,100.0,49.51,49.51,100.0,49.51
250602_150706_4e3eb92e,0,30,100.0,49.59,49.59,100.0,49.59
250602_150711_ae688dbc,0,35,100.0,49.54,49.54,100.0,49.54
250602_150717_9d19dae4,0,40,100.0,49.370000000000005,49.370000000000005,100.0,49.370000000000005
250602_150722_180feb28,0,45,100.0,50.92,50.92,100.0,50.92
250602_150727_650b8ec2,10,0,100.0,49.370000000000005,49.370000000000005,100.0,49.370000000000005
250602_150732_887ec850,10,5,100.0,48.85,48.85,100.0,48.85
250602_150738_0804f815,10,10,100.0,50.11,50.11,100.0,50.11
250602_150743_a553325f,10,15,100.0,50.29,50.29,100.0,50.29
250602_150748_56f69084,10,20,100.0,49.669999999999995,49.669999999999995,100.0,49.669999999999995
250602_150753_743f2258,10,25,100.0,49.71,49.71,100.0,49.71
250602_150758_279934e2,10,30,100.0,50.0,50.0,100.0,50.0
250602_150804_e084935e,10,35,100.0,49.49,49.49,100.0,49.49
250602_150809_57729444,10,40,100.0,49.28,49.28,100.0,49.28
250602_150814_2b5c4bb5,10,45,100.0,50.0,50.0,100.0,50.0
250602_150819_a1fc5fa5,20,0,100.0,50.14999999999999,50.14999999999999,100.0,50.14999999999999
250602_150825_d4736112,20,5,100.0,50.27,50.27,100.0,50.27
250602_150830_38acf4e2,20,10,100.0,49.96,49.96,100.0,49.96
250602_150835_dce984b2,20,15,100.0,49.43,49.43,100.0,49.43
250602_150840_fe7d39c5,20,20,100.0,49.769999999999996,49.769999999999996,100.0,49.769999999999996
250602_150845_a3bd2a4e,20,25,100.0,49.8,49.8,100.0,49.8
250602_150851_ff7771b7,20,30,100.0,50.449999999999996,50.449999999999996,100.0,50.449999999999996
250602_150856_b64f738b,20,35,100.0,49.62,49.62,100.0,49.62
250602_150901_57ef8efc,20,40,100.0,49.82,49.82,100.0,49.82
