ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250430_144008_ebe121a4,0,0,100.0,46.17,46.17,100.0,46.17
250430_144013_24db8c99,0,5,100.0,46.760000000000005,46.760000000000005,100.0,46.760000000000005
250430_144018_10f86454,0,10,100.0,46.18,46.18,100.0,46.18
250430_144023_91a703d7,0,15,99.99,46.98,46.98469846984699,99.99,46.98
250430_144028_464f4c77,0,20,99.96000000000001,46.29,46.308523409363744,99.96000000000001,46.29
250430_144033_8a366c82,0,25,99.78,46.19,46.291842052515534,99.78,46.19
250430_144038_310b9185,0,30,99.22,47.48,47.85325539205805,99.22,47.48
250430_144043_1e34dd90,0,35,96.04,47.77,49.739691795085385,96.04,47.77
250430_144048_024ed0d8,0,40,87.16000000000001,45.879999999999995,52.63882514915099,87.16000000000001,45.879999999999995
250430_144053_4cbb0476,0,45,71.34,46.150000000000006,64.69021586767592,71.34,46.150000000000006
250430_144058_38a1ff9d,10,0,100.0,45.879999999999995,45.879999999999995,100.0,45.879999999999995
250430_144103_2e4ac6f0,10,5,100.0,45.86,45.86,100.0,45.86
250430_144108_753cfd6b,10,10,100.0,46.85,46.85,100.0,46.85
250430_144114_07b3b3bc,10,15,100.0,45.9,45.9,100.0,45.9
250430_144119_200a4cde,10,20,99.98,46.39,46.399279855971194,99.98,46.39
250430_144124_34345cad,10,25,99.83,46.43,46.50906541119904,99.83,46.43
250430_144129_28a29679,10,30,98.87,46.9,47.436027106301204,98.87,46.9
250430_144134_89ce58f4,10,35,96.04,46.32,48.22990420658059,96.04,46.32
250430_144139_df0d8601,10,40,86.76,46.17,53.21576763485477,86.76,46.17
250430_144144_81662c0e,10,45,72.23,46.37,64.19770178596151,72.23,46.37
250430_144150_f1635358,20,0,100.0,46.62,46.62,100.0,46.62
250430_144155_cd128d93,20,5,100.0,46.89,46.89,100.0,46.89
250430_144200_65e0737d,20,10,100.0,46.62,46.62,100.0,46.62
250430_144205_540b697e,20,15,100.0,46.68,46.68,100.0,46.68
250430_144210_6d93318f,20,20,99.98,46.17,46.17923584716944,99.98,46.17
250430_144216_6c80421a,20,25,99.77000000000001,47.83,47.940262603989176,99.77000000000001,47.83
250430_144221_80d5819d,20,30,98.83999999999999,46.68,47.227842978551195,98.83999999999999,46.68
250430_144226_40310235,20,35,95.98,46.58,48.530943946655555,95.98,46.58
250430_144232_07354d6d,20,40,87.48,46.48,53.13214449016919,87.48,46.48
250430_144237_5107a39d,20,45,72.03,46.17,64.09829237817576,72.03,46.17
250430_144242_e07e0439,30,0,100.0,46.56,46.56,100.0,46.56
250430_144248_b8a4b48e,30,5,100.0,45.440000000000005,45.440000000000005,100.0,45.440000000000005
250430_144253_bd346eed,30,10,100.0,46.26,46.26,100.0,46.26
250430_144258_f637c1df,30,15,100.0,46.14,46.14,100.0,46.14
250430_144303_49838935,30,20,99.95,46.29,46.313156578289146,99.95,46.29
250430_144309_93603e6b,30,25,99.83,45.97,46.048282079535205,99.83,45.97
250430_144314_4c9e5a8c,30,30,98.96000000000001,46.88,47.37267582861762,98.96000000000001,46.88
250430_144319_750ba48a,30,35,95.67999999999999,46.47,48.56814381270903,95.67999999999999,46.47
250430_144324_298b6fd0,30,40,87.36,46.23,52.918956043956044,87.36,46.23
250430_144330_6c200ff7,30,45,71.93,46.48,64.61837897956346,71.93,46.48
250430_144335_b9e8d2da,40,0,100.0,46.800000000000004,46.800000000000004,100.0,46.800000000000004
250430_144340_7be7bd50,40,5,100.0,46.35,46.35,100.0,46.35
250430_144345_d3e8e554,40,10,100.0,45.78,45.78,100.0,45.78
250430_144351_ee3e15f9,40,15,100.0,46.72,46.72,100.0,46.72
250430_144356_1a7ae666,40,20,99.98,46.18,46.189237847569515,99.98,46.18
250430_144401_b13f1c90,40,25,99.82,46.72,46.80424764576237,99.82,46.72
250430_144407_5cd96abf,40,30,99.00999999999999,47.11,47.581052418947586,99.00999999999999,47.11
250430_144412_d27d134d,40,35,95.89,46.589999999999996,48.586922515382206,95.89,46.589999999999996
250430_144417_9482daea,40,40,87.94,47.14,53.604730498066864,87.94,47.14
250430_144423_0bebc2ea,40,45,71.33,46.550000000000004,65.26005888125613,71.33,46.550000000000004
250430_144428_9edf1b22,50,0,100.0,46.01,46.01,100.0,46.01
250430_144434_b0493e0d,50,5,100.0,46.54,46.54,100.0,46.54
250430_144439_47b571e7,50,10,100.0,46.21,46.21,100.0,46.21
250430_144445_15c63acc,50,15,99.99,45.79,45.794579457945794,99.99,45.79
250430_144450_13300c65,50,20,99.99,47.12,47.12471247124713,99.99,47.12
250430_144455_c0af4b3a,50,25,99.77000000000001,46.33,46.4368046506966,99.77000000000001,46.33
250430_144500_15f2e970,50,30,98.95,46.51,47.00353713996968,98.95,46.51
250430_144506_a83b4549,50,35,95.77,46.660000000000004,48.72089380808186,95.77,46.660000000000004
250430_144511_8df2d986,50,40,88.08,46.800000000000004,53.13351498637602,88.08,46.800000000000004
250430_144516_ae642beb,50,45,71.39999999999999,46.27,64.80392156862746,71.39999999999999,46.27
250430_144522_22928891,60,0,100.0,46.150000000000006,46.150000000000006,100.0,46.150000000000006
250430_144527_04eeacb6,60,5,100.0,46.26,46.26,100.0,46.26
250430_144532_4ad00cf7,60,10,100.0,46.300000000000004,46.300000000000004,100.0,46.300000000000004
250430_144538_489ab5b1,60,15,100.0,46.52,46.52,100.0,46.52
250430_144543_fab77d98,60,20,99.95,46.37,46.393196598299156,99.95,46.37
250430_144548_e9c6d71d,60,25,99.87,46.92,46.981075398017424,99.87,46.92
250430_144554_192233f3,60,30,98.8,46.37,46.93319838056681,98.8,46.37
250430_144559_7f447397,60,35,95.6,45.53,47.6255230125523,95.6,45.53
250430_144604_607ce601,60,40,87.07000000000001,46.11,52.95739060526014,87.07000000000001,46.11
250430_144610_90f6f24a,60,45,71.53,46.31,64.74206626590242,71.53,46.31
250430_144615_67bdc9d6,70,0,100.0,47.099999999999994,47.099999999999994,100.0,47.099999999999994
250430_144620_0d6bf24f,70,5,100.0,47.17,47.17,100.0,47.17
250430_144626_fbc5a8bf,70,10,100.0,46.21,46.21,100.0,46.21
250430_144631_2c43e893,70,15,100.0,46.98,46.98,100.0,46.98
250430_144636_f614ea2d,70,20,99.98,47.02,47.02940588117623,99.98,47.02
250430_144642_4f0ad919,70,25,99.83,46.56,46.639286787538815,99.83,46.56
250430_144647_ec184eb9,70,30,98.92999999999999,47.14,47.6498534317194,98.92999999999999,47.14
