ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250602_140645_b7f0024f,0,0,100.0,50.2,50.2,100.0,50.2
250602_140654_e47e9c68,0,5,100.0,50.24999999999999,50.24999999999999,100.0,50.24999999999999
250602_140702_541cf0fc,0,10,100.0,49.76,49.76,100.0,49.76
250602_140711_759e10b3,0,15,100.0,50.629999999999995,50.629999999999995,100.0,50.629999999999995
250602_140720_88ad50a2,0,20,100.0,49.45,49.45,100.0,49.45
250602_140728_c4b27fbc,0,25,100.0,50.6,50.6,100.0,50.6
250602_140737_23e4f79a,0,30,100.0,51.15,51.15,100.0,51.15
250602_140747_b9c618d3,0,35,100.0,49.769999999999996,49.769999999999996,100.0,49.769999999999996
250602_140758_cefbd94a,0,40,100.0,49.99,49.99,100.0,49.99
250602_140807_01332ed0,0,45,100.0,50.91,50.91,100.0,50.91
250602_140817_5e3d3e0f,10,0,100.0,50.91,50.91,100.0,50.91
250602_140829_4482575e,10,5,100.0,50.17,50.17,100.0,50.17
250602_140839_7ae82dee,10,10,100.0,50.14999999999999,50.14999999999999,100.0,50.14999999999999
250602_140848_d774960e,10,15,100.0,50.96000000000001,50.96000000000001,100.0,50.96000000000001
250602_140900_854a13fa,10,20,100.0,50.129999999999995,50.129999999999995,100.0,50.129999999999995
250602_140910_c99873a0,10,25,100.0,50.32,50.32,100.0,50.32
250602_140919_3a172c80,10,30,100.0,49.1,49.1,100.0,49.1
250602_140929_42082425,10,35,100.0,49.57,49.57,100.0,49.57
250602_140940_57c3b878,10,40,100.0,49.7,49.7,100.0,49.7
250602_140951_0510d4d2,10,45,100.0,49.32,49.32,100.0,49.32
250602_141004_f0343a02,20,0,100.0,49.94,49.94,100.0,49.94
250602_141013_dcb5c03b,20,5,100.0,50.12,50.12,100.0,50.12
250602_141022_3cabb80c,20,10,100.0,50.33,50.33,100.0,50.33
250602_141033_ba6ccc23,20,15,100.0,50.07,50.07,100.0,50.07
250602_141044_06856285,20,20,100.0,49.96,49.96,100.0,49.96
250602_141055_741a741e,20,25,100.0,49.69,49.69,100.0,49.69
250602_141104_306aa4e9,20,30,100.0,49.96,49.96,100.0,49.96
250602_141113_4d0e3c92,20,35,100.0,49.66,49.66,100.0,49.66
250602_141121_d392dbce,20,40,100.0,49.51,49.51,100.0,49.51
250602_141130_b2b5a92e,20,45,100.0,49.61,49.61,100.0,49.61
250602_141139_5aa88184,30,0,100.0,49.769999999999996,49.769999999999996,100.0,49.769999999999996
250602_141148_16f466b8,30,5,100.0,50.580000000000005,50.580000000000005,100.0,50.580000000000005
250602_141157_51dd6534,30,10,100.0,48.94,48.94,100.0,48.94
250602_141206_e2e6339d,30,15,100.0,48.54,48.54,100.0,48.54
250602_141215_2e82d603,30,20,100.0,51.09,51.09,100.0,51.09
250602_141224_307eb9db,30,25,100.0,49.93,49.93,100.0,49.93
250602_141232_856aa4b1,30,30,100.0,49.97,49.97,100.0,49.97
250602_141241_cffc1ab9,30,35,100.0,50.27,50.27,100.0,50.27
250602_141251_dc7eff60,30,40,100.0,50.349999999999994,50.349999999999994,100.0,50.349999999999994
250602_141300_17f2bbc5,30,45,100.0,49.81,49.81,100.0,49.81
250602_141311_ccd92fca,40,0,100.0,49.0,49.0,100.0,49.0
250602_141323_50c88f1a,40,5,100.0,50.18,50.18,100.0,50.18
