ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250530_162835_afa01abe,0,0,100.0,0.0,0.0,100.0,0.0
250530_162843_98408064,0,5,100.0,0.0,0.0,100.0,0.0
250530_162852_700df8cc,0,10,100.0,0.0,0.0,100.0,0.0
250530_162900_bf30355d,0,15,100.0,100.0,100.0,100.0,100.0
250530_162909_c83ad7d1,0,20,100.0,100.0,100.0,100.0,100.0
250530_162918_338488a5,0,25,100.0,100.0,100.0,100.0,100.0
250530_162926_00f3b106,0,30,100.0,100.0,100.0,100.0,100.0
250530_162935_3acfd529,0,35,100.0,0.0,0.0,100.0,0.0
250530_162944_670ce15b,0,40,100.0,0.0,0.0,100.0,0.0
250530_162952_0165a26d,0,45,100.0,100.0,100.0,100.0,100.0
250530_163001_e683ebe5,10,0,100.0,0.0,0.0,100.0,0.0
250530_163009_275d7b55,10,5,100.0,0.0,0.0,100.0,0.0
250530_163018_b4a18e13,10,10,100.0,100.0,100.0,100.0,100.0
250530_163027_c7d036e1,10,15,100.0,100.0,100.0,100.0,100.0
250530_163035_c605a436,10,20,100.0,100.0,100.0,100.0,100.0
250530_163044_12d2c2a0,10,25,100.0,0.0,0.0,100.0,0.0
250530_163053_565cca70,10,30,100.0,100.0,100.0,100.0,100.0
250530_163101_1e0878dc,10,35,100.0,0.0,0.0,100.0,0.0
250530_163110_4c11ad27,10,40,100.0,100.0,100.0,100.0,100.0
250530_163119_30809afd,10,45,100.0,0.0,0.0,100.0,0.0
250530_163127_1aa9be67,20,0,100.0,0.0,0.0,100.0,0.0
250530_163136_fdeff6e1,20,5,100.0,0.0,0.0,100.0,0.0
250530_163145_eace619d,20,10,100.0,0.0,0.0,100.0,0.0
250530_163154_73f51a66,20,15,100.0,100.0,100.0,100.0,100.0
250530_163202_1505fcc6,20,20,100.0,0.0,0.0,100.0,0.0
250530_163211_b701cdaa,20,25,100.0,100.0,100.0,100.0,100.0
250530_163220_44ff60eb,20,30,100.0,0.0,0.0,100.0,0.0
250530_163229_ca03411f,20,35,100.0,0.0,0.0,100.0,0.0
250530_163237_d8431db7,20,40,100.0,0.0,0.0,100.0,0.0
250530_163246_e32db029,20,45,100.0,100.0,100.0,100.0,100.0
250530_163255_a2084d44,30,0,100.0,100.0,100.0,100.0,100.0
250530_163304_d93bc790,30,5,100.0,0.0,0.0,100.0,0.0
250530_163312_3cc961cb,30,10,100.0,0.0,0.0,100.0,0.0
250530_163321_a6fa35c7,30,15,100.0,100.0,100.0,100.0,100.0
250530_163330_c39629f7,30,20,100.0,0.0,0.0,100.0,0.0
250530_163339_c8886db6,30,25,100.0,0.0,0.0,100.0,0.0
250530_163347_aea3688d,30,30,100.0,0.0,0.0,100.0,0.0
250530_163356_fc666a26,30,35,100.0,0.0,0.0,100.0,0.0
250530_163405_17e660ca,30,40,100.0,0.0,0.0,100.0,0.0
250530_163414_3e5f350a,30,45,100.0,0.0,0.0,100.0,0.0
250530_163422_b96cad28,40,0,100.0,0.0,0.0,100.0,0.0
250530_163431_53dad6ac,40,5,100.0,100.0,100.0,100.0,100.0
250530_163440_3b857361,40,10,100.0,100.0,100.0,100.0,100.0
250530_163449_ddda29a1,40,15,100.0,0.0,0.0,100.0,0.0
250530_163458_26c9a86a,40,20,100.0,0.0,0.0,100.0,0.0
250530_163506_4231200b,40,25,100.0,100.0,100.0,100.0,100.0
250530_163515_99c014a9,40,30,100.0,100.0,100.0,100.0,100.0
250530_163524_7384d377,40,35,100.0,100.0,100.0,100.0,100.0
250530_163533_19f3d800,40,40,100.0,100.0,100.0,100.0,100.0
250530_163542_c24955c9,40,45,100.0,100.0,100.0,100.0,100.0
250530_163551_01068ef3,50,0,100.0,0.0,0.0,100.0,0.0
250530_163559_4c5134a3,50,5,100.0,0.0,0.0,100.0,0.0
250530_163608_22cee7ce,50,10,100.0,0.0,0.0,100.0,0.0
250530_163617_3fcf9f3c,50,15,100.0,100.0,100.0,100.0,100.0
250530_163626_aec48c74,50,20,100.0,100.0,100.0,100.0,100.0
250530_163635_5f58c630,50,25,100.0,0.0,0.0,100.0,0.0
250530_163644_cf61649a,50,30,100.0,0.0,0.0,100.0,0.0
250530_163653_06fc45f8,50,35,100.0,0.0,0.0,100.0,0.0
250530_163702_e30c560b,50,40,100.0,100.0,100.0,100.0,100.0
250530_163712_c0ea5d40,50,45,100.0,100.0,100.0,100.0,100.0
250530_163720_e0eda5bf,60,0,100.0,0.0,0.0,100.0,0.0
250530_163729_bcb868a1,60,5,100.0,0.0,0.0,100.0,0.0
250530_163738_dc79c57f,60,10,100.0,0.0,0.0,100.0,0.0
250530_163747_dbb7c589,60,15,100.0,0.0,0.0,100.0,0.0
250530_163756_669e1aee,60,20,100.0,0.0,0.0,100.0,0.0
250530_163804_96048f78,60,25,100.0,0.0,0.0,100.0,0.0
250530_163813_14aa698a,60,30,100.0,0.0,0.0,100.0,0.0
250530_163822_8d9bf264,60,35,100.0,0.0,0.0,100.0,0.0
250530_163832_fb414bf0,60,40,100.0,0.0,0.0,100.0,0.0
250530_163840_6963f799,60,45,100.0,0.0,0.0,100.0,0.0
250530_163849_54dcfb27,70,0,100.0,100.0,100.0,100.0,100.0
