ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250531_063434_537b3438,0,0,100.0,0.0,0.0,100.0,0.0
250531_063443_a904dcea,0,5,100.0,100.0,100.0,100.0,100.0
250531_063452_7b123f94,0,10,100.0,0.0,0.0,100.0,0.0
250531_063500_62c994be,0,15,100.0,100.0,100.0,100.0,100.0
250531_063509_5de87739,0,20,100.0,0.0,0.0,100.0,0.0
250531_063517_616d9928,0,25,100.0,0.0,0.0,100.0,0.0
250531_063526_99492869,0,30,100.0,100.0,100.0,100.0,100.0
250531_063534_73d1bf98,0,35,100.0,100.0,100.0,100.0,100.0
250531_063543_506dd037,0,40,100.0,0.0,0.0,100.0,0.0
250531_063551_85f82446,0,45,100.0,0.0,0.0,100.0,0.0
250531_063600_69dddac2,10,0,100.0,0.0,0.0,100.0,0.0
250531_063609_86b5c479,10,5,100.0,0.0,0.0,100.0,0.0
250531_063617_8e7b4e97,10,10,100.0,100.0,100.0,100.0,100.0
250531_063626_0cd0da43,10,15,100.0,0.0,0.0,100.0,0.0
250531_063635_aec3c51c,10,20,100.0,100.0,100.0,100.0,100.0
250531_063643_c6f1812d,10,25,100.0,0.0,0.0,100.0,0.0
250531_063652_77f633e2,10,30,100.0,100.0,100.0,100.0,100.0
250531_063700_d95a4a2d,10,35,100.0,100.0,100.0,100.0,100.0
250531_063709_d1ce0b3d,10,40,100.0,0.0,0.0,100.0,0.0
250531_063718_a73f4b0d,10,45,100.0,100.0,100.0,100.0,100.0
250531_063726_56331292,20,0,100.0,100.0,100.0,100.0,100.0
250531_063735_77f9038c,20,5,100.0,100.0,100.0,100.0,100.0
250531_063744_0d582ecd,20,10,100.0,100.0,100.0,100.0,100.0
250531_063753_a7243732,20,15,100.0,0.0,0.0,100.0,0.0
250531_063801_50ffa2ba,20,20,100.0,100.0,100.0,100.0,100.0
250531_063810_b29b15a1,20,25,100.0,0.0,0.0,100.0,0.0
250531_063818_ba705e19,20,30,100.0,0.0,0.0,100.0,0.0
250531_063827_f2310393,20,35,100.0,100.0,100.0,100.0,100.0
250531_063836_8b7dc124,20,40,100.0,0.0,0.0,100.0,0.0
250531_063845_a29606d5,20,45,100.0,100.0,100.0,100.0,100.0
250531_063853_668ecbe4,30,0,100.0,100.0,100.0,100.0,100.0
250531_063902_4fb59932,30,5,100.0,100.0,100.0,100.0,100.0
250531_063911_d3fe2f02,30,10,100.0,0.0,0.0,100.0,0.0
250531_063920_f9e207b0,30,15,100.0,0.0,0.0,100.0,0.0
250531_063928_a5c113e7,30,20,100.0,0.0,0.0,100.0,0.0
250531_063937_4faa5126,30,25,100.0,0.0,0.0,100.0,0.0
250531_063946_2f442daa,30,30,100.0,0.0,0.0,100.0,0.0
250531_063955_3c9a054f,30,35,100.0,0.0,0.0,100.0,0.0
250531_064004_35362b69,30,40,100.0,100.0,100.0,100.0,100.0
250531_064012_96a89ba4,30,45,100.0,0.0,0.0,100.0,0.0
250531_064021_46ebe632,40,0,100.0,0.0,0.0,100.0,0.0
250531_064030_b010888e,40,5,100.0,0.0,0.0,100.0,0.0
250531_064039_a6bca398,40,10,100.0,100.0,100.0,100.0,100.0
250531_064047_477a93cd,40,15,100.0,0.0,0.0,100.0,0.0
250531_064056_6e519d92,40,20,100.0,100.0,100.0,100.0,100.0
250531_064105_37029eb0,40,25,100.0,0.0,0.0,100.0,0.0
250531_064114_3dd990cc,40,30,100.0,0.0,0.0,100.0,0.0
250531_064123_f9ff97c0,40,35,100.0,100.0,100.0,100.0,100.0
